Project,Country,City,Headquarters Type,Source Used,Evidence/Notes
Vaulta (prev. EOS) (EOS),Canada,Calgary,Foundation Location,"Vaulta Foundation. (n.d.). Vaulta Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/vaulta-foundation","The Vaulta Foundation LinkedIn page lists the organization’s headquarters as Calgary, Alberta, Canada. This replaces the prior X-profile evidence because LinkedIn provides a specific headquarters field and city-level location."
FTX Token (FTT),Antigua and Barbuda,Saint John's,Legal Headquarters,"U.S. Securities and Exchange Commission. (2021, November 2). Form D: Notice of exempt offering of securities, FTX Trading Ltd. https://www.sec.gov/Archives/edgar/data/1876386/000187638621000002/xslFormDX01/primary_doc.xml","The SEC Form D filing for FTX Trading Ltd. lists the jurisdiction of incorporation/organization as Antigua and Barbuda and gives Saint John's, Antigua and Barbuda as the principal place of business/contact location. Because the research protocol prioritizes legal headquarters where available, this legal filing is used as the verified location evidence."
pump.fun (PUMP),United States,Solana Beach,Operational Headquarters,"PitchBook. (n.d.). Pump.fun company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/593602-12","PitchBook states that Pump.Fun is headquartered in Solana Beach, CA. This is considered the operational headquarters."
Terra Classic (LUNC),Not Verified,Not Verified,Unknown,"Terra Classic. (n.d.). Terra Classic. Retrieved June 10, 2026, from https://terra-classic.money/","The Terra Classic official website states that it is a community-governed, decentralized network with no single company or central authority. Therefore, a traditional headquarters location cannot be identified."
UNUS SED LEO (LEO),Taiwan,Taipei,Operational Headquarters,"Crunchbase. (n.d.). Bitfinex company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/bitfinex","Crunchbase profile for Bitfinex, the parent company of UNUS SED LEO, lists Taipei, Taiwan as its headquarters. This indicates the operational headquarters for the project."
Celsius (CEL),United States,Wilmington,Legal Headquarters,"Celsius Network LLC. (n.d.). Celsius Network. Retrieved June 10, 2026, from https://celsius.network/","The official Celsius Network website lists a registered office for legal, regulatory, and compliance matters at 1209 Orange Street, Wilmington, Delaware 19801. This official legal-contact address is used as the verified legal-headquarters evidence."
Flow (FLOW),Canada,Vancouver,Operational Headquarters,"GlobalData. (n.d.). Dapper Labs Inc company profile. GlobalData. Retrieved June 10, 2026, from https://www.globaldata.com/company-profile/dapper-labs-inc/","Multiple sources confirm Dapper Labs, the creator of Flow, is headquartered in Vancouver, British Columbia, Canada. This is considered the operational headquarters for the Flow project."
World Liberty Financial (WLFI),United States,Not Verified,Legal Headquarters,"World Liberty Financial. (n.d.). Gold paper [PDF]. Retrieved June 10, 2026, from https://static.worldlibertyfinancial.com/docs/intl/gold-paper.pdf","The Gold Paper states: 'WLF, a Delaware nonstock corporation owns, is developing and will operate the WLF Protocol... By design, World Liberty Financial is not organized offshore. World Liberty Financial is an American, tax-paying, corporation that aims to bring DeFi to its rightful home – America.' This indicates the legal headquarters is in the United States. While Delaware is mentioned as the state of incorporation, a specific city is not provided."
BitDAO (BIT),Not Verified,Not Verified,Unknown,"BitDAO. (n.d.). BitDAO documentation. Retrieved June 10, 2026, from https://docs.bitdao.io/","The official BitDAO documentation states that 'BitDAO is not a company. It does not have a management team or employees.' As a Decentralized Autonomous Organization (DAO), it does not have a traditional physical headquarters."
Near Protocol (NEAR),Switzerland,Not Verified,Foundation Location,"NEAR Foundation. (n.d.). NEAR Foundation. Retrieved June 10, 2026, from https://near.foundation/","The NEAR Foundation website explicitly states, 'We are a non-profit organization based in Switzerland.' This indicates the foundation's location."
Avalanche (AVAX),United States,New York,Operational Headquarters,"Crunchbase. (n.d.). Ava Labs company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/ava-labs","Crunchbase profile for Ava Labs, the company behind Avalanche, consistently lists its headquarters as New York, New York, United States. This indicates the primary operational headquarters."
Polkadot (DOT),Switzerland,Zug,Foundation Location,"Web3 Foundation. (n.d.). Legal disclosures. Retrieved June 10, 2026, from https://web3.foundation/legal-disclosures/; Crunchbase. (n.d.). Web3 Foundation company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/web3-foundation","The Web3 Foundation, which develops Polkadot, is headquartered in Zug, Switzerland, as stated in their legal disclosures and confirmed by Crunchbase. This is the foundation location for the project."
Polygon (MATIC),Cayman Islands,Camana Bay,Operational Headquarters,"CB Insights. (n.d.). Polygon Labs company profile. CB Insights. Retrieved June 10, 2026, from https://www.cbinsights.com/company/matic-network","CB Insights states that Polygon Labs (formerly Matic Network) was founded in 2017 and is based in Camana Bay, Cayman Islands. This is listed under 'Headquarters Location'."
Flying Tulip (FT),United States,Nyack,Operational Headquarters,"Crunchbase. (n.d.). Flying Tulip company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/flying-tulip","Crunchbase profile for Flying Tulip lists 'Nyack, New York, United States' as the company's location. This is considered the operational headquarters."
Monad (MON),Cayman Islands,Not Verified,Foundation Location,"Monad. (n.d.). Privacy policy. Retrieved June 10, 2026, from https://www.monad.xyz/privacy-policy","The Monad Foundation's Privacy Policy states that personal information may be transferred to, processed, stored, and used in the Cayman Islands. This indicates the legal jurisdiction and likely headquarters of the foundation."
Sui (SUI),United States,Palo Alto,Operational Headquarters,"Built In SF. (n.d.). Mysten Labs company profile. Built In SF. Retrieved June 10, 2026, from https://www.builtinsf.com/company/mysten-labs","Multiple sources, including BuiltInSF, Pitchbook, and CBInsights, consistently list Palo Alto, California, USA as the headquarters or corporate office for Mysten Labs, the developer of Sui. While a UK registered office exists, the US location appears to be the primary operational headquarters."
Hashkey (HSK),Hong Kong,Central,Operational Headquarters,"HashKey Group. (n.d.). HSK. Retrieved June 10, 2026, from https://group.hashkey.com/en/hsk","The official HashKey Group website lists multiple addresses, with Hong Kong being the first and most prominent. Given the statement 'Leading in Asia with Global Footprints', Hong Kong is identified as the primary operational headquarters."
Solana (SOL),Switzerland,Zug,Foundation Location,"Solana Foundation. (n.d.). Solana Foundation. Retrieved June 10, 2026, from https://solana.org/","The Solana Foundation is a non-profit foundation based in Zug, Switzerland, dedicated to the decentralization, adoption, and security of the Solana ecosystem. This information is directly from their official website."
Immutable (IMX),Australia,Sydney,Operational Headquarters,"CB Insights. (n.d.). Immutable. Retrieved June 10, 2026, from https://www.cbinsights.com/company/fuel-bros","CB Insights lists Immutable’s headquarters location as 77 King Street, Level 18, Sydney, New South Wales 2000, Australia. This company-data source verifies Sydney as the project’s headquarters location."
Dragon Coins (DRG),Thailand,Phuket,Operational Headquarters,"Crunchbase. (n.d.). Dragon company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/dragon-afe2","Crunchbase profile for 'Dragon' (DRG) lists Phuket, Thailand as the headquarters. The white paper and official website did not provide explicit headquarters information."
LayerZero (ZRO),Canada,Vancouver,Legal Headquarters,"Crunchbase. (n.d.). LayerZero Labs company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/layerzero-labs","Crunchbase lists LayerZero Labs Ltd. as being located in Vancouver, British Columbia, Canada. This indicates the legal headquarters of the project."
Axie Infinity (AXS),Singapore,Singapore,Operational Headquarters,"Crunchbase. (n.d.). Sky Mavis company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/sky-mavis","The Crunchbase profile for Sky Mavis, the developer of Axie Infinity, states that its headquarters is located in Singapore, Central Region, Singapore. This indicates the operational headquarters for the project."
OneFootball (OFC),Germany,Berlin,Legal Headquarters,"North Data. (n.d.). OneFootball Capital GmbH, Berlin, Germany. Retrieved June 10, 2026, from https://www.northdata.com/OneFootball%20Capital%20GmbH,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20131613%20B","The Northdata profile for OneFootball Capital GmbH, the issuer of the $OFC Token, explicitly states its location as Berlin, Germany. This confirms the legal headquarters for the project."
Huobi Token (HT),Seychelles,Not Verified,Legal Headquarters,"Financial Services Authority Seychelles. (2023, November 30). Alert: Huobi Global Limited (194154). https://fsaseychelles.sc/media-corner/regulatory-updates/alert-huobi-global-limited-194155; HTX. (n.d.). Privacy policy. Retrieved June 10, 2026, from https://www.htx.com/en-us/about/privacy/","The Seychelles Financial Services Authority identifies Huobi Global Limited by name and company number in a Seychelles regulatory notice, while HTX/Huobi public materials identify the Huobi Global Limited legal entity. These official and regulatory sources support Seychelles as the legal jurisdiction; no city-level headquarters could be verified."
Hedera (HBAR),United States,Richardson,Operational Headquarters,"City of Richardson Economic Development. (n.d.). Hedera Hashgraph selects Richardson, Texas 3400 at CityLine for new corporate headquarters. Retrieved June 10, 2026, from https://richardsoneconomicdevelopment.com/press-release-hedera-hashgraph-selects-richardson-texas-3400-at-cityline-for-new-corporate-headquarters/","According to the press release, Hedera Hashgraph leased space in Richardson, Texas for its new global headquarters. This indicates Richardson, Texas as the corporate headquarters."
Tezos (XTZ),Switzerland,Zug,Foundation Location,"Tezos Foundation. (n.d.). About us. Retrieved June 10, 2026, from https://tezos.foundation/about-us/; Tezos Foundation. (n.d.). Tezos Foundation [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/tezosfoundation/","The Tezos Foundation, a Swiss foundation, is headquartered in Zug, Switzerland, as stated on its official 'About Us' page and corroborated by its LinkedIn profile. This is the most appropriate verified location based on the provided priority order."
SIRIN LABS (SRN),Switzerland,Schaffhausen,Operational Headquarters,"PitchBook. (n.d.). Sirin Labs company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/94847-68","PitchBook lists Sirin Labs as headquartered in Schaffhausen, Switzerland. This uses a reputable company-data source for city-level headquarters verification."
Tribal Token (TRIBL),United States,San Francisco,Operational Headquarters,"Crunchbase. (n.d.). Tribal company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/tribalcredit","Crunchbase profile for Tribal Credit (which is associated with Tribal Token) states the company is located in San Francisco, California, United States."
Filecoin (FIL),United States,San Francisco,Legal Headquarters,"Crunchbase. (n.d.). Filecoin Foundation company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/filecoin-foundation","Crunchbase profile for Filecoin Foundation states: 'Filecoin Foundation is located in San Francisco, California, United States.' This is the legal headquarters of the Filecoin Foundation, which is the sister non-profit of Filecoin."
KuCoin Token (KCS),Seychelles,Mahé,Foundation Location,"Crunchbase. (n.d.). KuCoin company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/kucoin; PitchBook. (n.d.). KuCoin company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/234559-90; Financial Post. (n.d.). KuCoin co-releases KCS whitepaper with KCS Management Foundation, revealing the 20 million KCS burn. Retrieved June 10, 2026, from https://financialpost.com/pmn/press-releases-pmn/business-wire-news-releases-pmn/kucoin-co-releases-kcs-whitepaper-with-kcs-management-foundation-revealing-the-20-million-kcs-burn","The KCS whitepaper is co-released by KuCoin and the KCS Management Foundation. Multiple sources, including Crunchbase and Pitchbook, indicate KuCoin's headquarters are in Mahé, Seychelles. Financialpost.com also states 'VICTORIA, Seychelles — KuCoin, the world-leading crypto exchange, has co-released the KCS Whitepaper in coordination with KCS Management ...', further linking the KCS Management Foundation to Seychelles."
Unizen (ZCX),Liechtenstein,Vaduz,Operational Headquarters,"Crunchbase. (n.d.). Unizen company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/unizen-1ed5","Crunchbase profile for Unizen (ZCX) explicitly states the headquarters location as Vaduz, Liechtenstein."
Republic (NOTE),United States,New York,Legal Headquarters,"Crunchbase. (n.d.). Republic company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/republic-co; Republic. (n.d.). Contact. Retrieved June 10, 2026, from https://republic.com/contact","Crunchbase lists Republic in New York, New York, United States, and the official Republic contact page provides a New York address. This official/company-data evidence supports New York as the verified location."
Uniswap (UNI),United States,New York City,Operational Headquarters,"Uniswap Labs. (n.d.). About Uniswap Labs. Retrieved June 10, 2026, from https://about.uniswap.org/",The official Uniswap Labs website states that 'Uniswap Labs is headquartered in New York City'. This indicates the operational headquarters of the project.
Zama (ZAMA),Switzerland,Zug,Operational Headquarters,"Crunchbase. (n.d.). Zama company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/zama-aa23","Crunchbase lists Zama's location as Zug, Switzerland. This is considered the operational headquarters as no legal headquarters was explicitly stated in the provided sources."
Aztec (AZTEC),Not Verified,Not Verified,Foundation Location,"Aztec Network. (n.d.). Aztec Network. Retrieved June 10, 2026, from https://aztec.network/","The footer of the official Aztec Network website states '© 2025 Aztec Foundation', indicating the project is organized as a foundation. No specific city or country for the foundation's headquarters is provided on the website."
Gari Network (GARI),United Kingdom,London,Legal Headquarters,"Tracxn. (n.d.). GARI company profile, team, funding, competitors, and financials. Retrieved June 10, 2026, from https://tracxn.com/d/companies/gari/__XJFXSLybEu2PFHaa-fq9zAZE2vWqDml1BLbqH2ZhEY8","Tracxn.com lists '102 CRICKLEWOOD BROADWAY,LONDON,NW2 3EJ' as the Registered Address for GARI, which is prioritized as the legal headquarters. The company is also stated to be 'based in Bengaluru (India)'."
Jupiter (JUP),Puerto Rico,San Juan,Operational Headquarters,"Crunchbase. (n.d.). Jupiter company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/jupiter-a111","Crunchbase lists Jupiter's headquarters as San Juan, Puerto Rico. This is identified as the operational headquarters given the nature of a decentralized trading platform."
Blur (BLUR),United States,San Francisco,Operational Headquarters,"Crunchbase. (n.d.). Blur company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/blur-d734","Crunchbase states that Blur is located in San Francisco, California, United States."
Braintrust (BTRST),United States,San Francisco,Foundation Location,"Crunchbase. (n.d.). Braintrust company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/braintrust-bac9","Crunchbase lists the legal name as 'Freelance Labs, Inc.' and the company type as 'Non-profit', with headquarters in San Francisco, California, United States. This indicates a Foundation Location."
MobileGo (MGO),Serbia,Belgrade,Operational Headquarters,"Crunchbase. (n.d.). MobileGo company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/mobilego","Crunchbase profile for MobileGo (MGO) states its headquarters are in Belgrade, Vojvodina, Serbia."
Aethir (ATH),Singapore,Singapore,Operational Headquarters,"PitchBook. (n.d.). Aethir company profile. PitchBook. Retrieved June 10, 2026, from https://pitchbook.com/profiles/company/532644-40","Pitchbook.com states 'Aethir is headquartered in Singapore, Singapore' and provides a corporate office address at 18 Cross Street, Singapore, 048423. Crunchbase.com also confirms Singapore as the headquarters location."
Pintu Token (PTU),Indonesia,Jakarta,Operational Headquarters,"Pintu. (n.d.). Pintu Indonesia [LinkedIn page]. LinkedIn. Retrieved June 10, 2026, from https://www.linkedin.com/company/pintu-indonesia","Pintu's LinkedIn profile clearly states 'Headquarters: JAKARTA PUSAT, DKI JAKARTA'. The official website pintu.co.id also mentions being licensed and supervised by OJK, an Indonesian financial authority, further supporting Indonesia as the operational headquarters."
Polymath (POLY),Barbados,"Haggatt Hall, Saint George",Operational Headquarters,"Crunchbase. (n.d.). Polymath Network company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/polymath","Crunchbase profile for Polymath Network states the headquarters is located in Haggatt Hall, Saint George, Barbados."
Bankera (BNK),Lithuania,Vilnius,Operational Headquarters,"Crunchbase. (n.d.). Bankera company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/bankera","Bankera's Crunchbase profile explicitly states its headquarters are in Vilnius, Lithuania. This is supported by information on their official website indicating they are authorized by the Central Bank of Lithuania."
Bancor (BNT),Israel,Tel Aviv,Operational Headquarters,"Tracxn. (n.d.). Bancor Protocol company profile and team. Retrieved June 10, 2026, from https://tracxn.com/d/companies/bancorprotocol/__4rtBBu__gLHbOCOeet1AvJxk7oAaNsvQM7gwfkxjMyk","Tracxn, a reputable company profiling platform, states that Bancor Protocol is a seed company based in Tel Aviv (Israel), founded in 2017. This indicates Tel Aviv as the operational headquarters."
Data Ownership Protocol (DOP),United Kingdom,Dagenham,Legal Headquarters,"Companies House. (n.d.). D.DOP LTD. GOV.UK. Retrieved June 10, 2026, from https://find-and-update.company-information.service.gov.uk/company/11728720","D.DOP LTD is registered with Companies House in the United Kingdom. The registered office address is 12 Veysey Gardens, Dagenham, United Kingdom, RM10 7SB."
H2O Securities (H2ON),United States,Wilmington,Legal Headquarters,"H2O Securities. (n.d.). H2O Securities. Retrieved June 10, 2026, from https://www.h2o-securities.com/","The official website of H2O Securities lists 'H2O Global Equities Inc, 2810 North Church Street, Wilmington, Delaware, 19802, USA' as its legal support contact."
Zentry (ZENT),Thailand,Bangkok,Operational Headquarters,"Crunchbase. (n.d.). Zentry company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/guildfi","Crunchbase profile for Zentry (formerly GuildFi) states: 'Where is Zentry's headquarters? Zentry is located in Bangkok, Krung Thep, Thailand.'"
Lido (LDO),Latvia,Riga,Legal Headquarters,"Tracxn. (n.d.). Lido company profile. Retrieved June 10, 2026, from https://tracxn.com/d/companies/lido/__Cdtcv0hZcjkaz230KP9H4fRVXaQg9AgdIqDSzB8OWw4","Tracxn states 'Lido is a series A company based in Finland, founded in 2020.' and lists 'Registered Address Rīga, Ķengaraga iela 6A'. Riga is the capital of Latvia. This indicates the legal headquarters is in Riga, Latvia."
Cere Network (CERE),United States,San Francisco,Operational Headquarters,"Crunchbase. (n.d.). Cere Network company profile. Crunchbase. Retrieved June 10, 2026, from https://www.crunchbase.com/organization/cere-network","The Crunchbase profile for Cere Network explicitly states the company is located in San Francisco, California, United States."
